grid,constructor,year,round,driverRef,q
1,McLaren,2008,1,hamilton,1:26.714
2,BMW Sauber,2008,1,kubica,1:26.869
3,McLaren,2008,1,kovalainen,1:27.079
4,Ferrari,2008,1,massa,1:27.178
5,BMW Sauber,2008,1,heidfeld,1:27.236
6,Toyota,2008,1,trulli,1:28.527
7,Williams,2008,1,rosberg,1:28.687
8,Red Bull,2008,1,coulthard,1:29.041
9,Toyota,2008,1,glock,1:29.593
10,Toro Rosso,2008,1,vettel,1:25.842
11,Honda,2008,1,barrichello,1:26.173
12,Renault,2008,1,alonso,1:26.188
13,Honda,2008,1,button,1:26.259
14,Williams,2008,1,nakajima,1:26.413
15,Red Bull,2008,1,webber,1:26.914
16,Ferrari,2008,1,raikkonen,1:26.140
17,Force India,2008,1,fisichella,1:27.207
18,Toro Rosso,2008,1,bourdais,1:27.446
19,Force India,2008,1,sutil,1:27.859
20,Super Aguri,2008,1,sato,1:28.208
21,Renault,2008,1,piquet_jr,1:28.330
22,Super Aguri,2008,1,davidson,1:29.059
1,Ferrari,2008,2,massa,1:35.748
2,Ferrari,2008,2,raikkonen,1:36.230
3,McLaren,2008,2,kovalainen,1:36.613
4,McLaren,2008,2,hamilton,1:36.709
5,Toyota,2008,2,trulli,1:36.711
6,BMW Sauber,2008,2,kubica,1:36.727
7,BMW Sauber,2008,2,heidfeld,1:36.753
8,Red Bull,2008,2,webber,1:37.009
9,Renault,2008,2,alonso,1:38.450
10,Toyota,2008,2,glock,1:39.656
11,Honda,2008,2,button,1:35.208
12,Red Bull,2008,2,coulthard,1:35.408
13,Renault,2008,2,piquet_jr,1:35.562
14,Honda,2008,2,barrichello,1:35.622
15,Toro Rosso,2008,2,vettel,1:35.648
16,Williams,2008,2,rosberg,1:35.670
17,Force India,2008,2,fisichella,1:36.240
18,Williams,2008,2,nakajima,1:36.388
19,Toro Rosso,2008,2,bourdais,1:36.677
20,Super Aguri,2008,2,sato,1:37.087
21,Force India,2008,2,sutil,1:37.101
22,Super Aguri,2008,2,davidson,1:37.481
1,BMW Sauber,2008,3,kubica,1:33.096
2,Ferrari,2008,3,massa,1:33.123
3,McLaren,2008,3,hamilton,1:33.292
4,Ferrari,2008,3,raikkonen,1:33.418
5,McLaren,2008,3,kovalainen,1:33.488
6,BMW Sauber,2008,3,heidfeld,1:33.737
7,Toyota,2008,3,trulli,1:33.994
8,Williams,2008,3,rosberg,1:34.015
9,Honda,2008,3,button,1:35.057
10,Renault,2008,3,alonso,1:35.115
11,Red Bull,2008,3,webber,1:32.371
12,Honda,2008,3,barrichello,1:32.508
13,Toyota,2008,3,glock,1:32.528
14,Renault,2008,3,piquet_jr,1:32.790
15,Toro Rosso,2008,3,bourdais,1:32.915
16,Williams,2008,3,nakajima,1:32.943
17,Red Bull,2008,3,coulthard,1:33.433
18,Force India,2008,3,fisichella,1:33.501
19,Toro Rosso,2008,3,vettel,1:33.562
20,Force India,2008,3,sutil,1:33.845
21,Super Aguri,2008,3,davidson,1:34.140
22,Super Aguri,2008,3,sato,1:35.725
1,Ferrari,2008,4,raikkonen,1:21.813
2,Renault,2008,4,alonso,1:21.904
3,Ferrari,2008,4,massa,1:22.058
4,BMW Sauber,2008,4,kubica,1:22.065
5,McLaren,2008,4,hamilton,1:22.096
6,McLaren,2008,4,kovalainen,1:22.231
7,Red Bull,2008,4,webber,1:22.429
8,Toyota,2008,4,trulli,1:22.529
9,BMW Sauber,2008,4,heidfeld,1:22.542
10,Renault,2008,4,piquet_jr,1:22.699
11,Honda,2008,4,barrichello,1:21.049
12,Williams,2008,4,nakajima,1:21.117
13,Honda,2008,4,button,1:21.211
14,Toyota,2008,4,glock,1:21.230
15,Williams,2008,4,rosberg,1:21.349
16,Toro Rosso,2008,4,bourdais,1:21.724
17,Red Bull,2008,4,coulthard,1:21.810
18,Toro Rosso,2008,4,vettel,1:22.108
19,Force India,2008,4,fisichella,1:22.516
20,Force India,2008,4,sutil,1:23.224
21,Super Aguri,2008,4,davidson,1:23.318
22,Super Aguri,2008,4,sato,1:23.496
1,Ferrari,2008,5,massa,1:27.617
2,McLaren,2008,5,kovalainen,1:27.808
3,McLaren,2008,5,hamilton,1:27.923
4,Ferrari,2008,5,raikkonen,1:27.936
5,BMW Sauber,2008,5,kubica,1:28.390
6,Red Bull,2008,5,webber,1:28.417
7,Renault,2008,5,alonso,1:28.422
8,Toyota,2008,5,trulli,1:28.836
9,BMW Sauber,2008,5,heidfeld,1:28.882
10,Red Bull,2008,5,coulthard,1:29.959
11,Williams,2008,5,rosberg,1:27.012
12,Honda,2008,5,barrichello,1:27.219
13,Honda,2008,5,button,1:27.298
14,Toro Rosso,2008,5,vettel,1:27.412
15,Toyota,2008,5,glock,1:27.806
16,Williams,2008,5,nakajima,1:27.547
17,Renault,2008,5,piquet_jr,1:27.568
18,Toro Rosso,2008,5,bourdais,1:27.621
19,Force India,2008,5,fisichella,1:27.807
20,Force India,2008,5,sutil,1:28.325
1,Ferrari,2008,6,massa,1:15.787
2,Ferrari,2008,6,raikkonen,1:15.815
3,McLaren,2008,6,hamilton,1:15.839
4,McLaren,2008,6,kovalainen,1:16.165
5,BMW Sauber,2008,6,kubica,1:16.171
6,Williams,2008,6,rosberg,1:16.548
7,Renault,2008,6,alonso,1:16.852
